9384	0
1422	40
9173	80
5124	120
1394	159
18538	198
19957	239
16328	279
19583	319
6809	360
19933	399
17540	439
13318	479
9690	519
14482	560
16966	602
9504	644
724	683
17765	722
4915	762
11433	802
14396	842
15929	882
16841	921
3325	963
15591	1004
10198	1045
7344	1086
5662	1123
3466	1163
2601	1203
7132	1243
8900	1285
16467	1324
17446	1364
2010	1405
15322	1443
15668	1484
2423	1525
13851	1564
12299	1607
11156	1647
1861	1687
10614	1725
16785	1763
10499	1803
12891	1843
9798	1882
7687	1923
12461	1963
7557	2004
6404	2044
4340	2084
16430	2123
15368	2163
15341	2203
8024	2245
4235	2285
6313	2324
13530	2364
10858	2406
19480	2447
18988	2488
12261	2529
16874	2570
9315	2610
13075	2651
1840	2693
16683	2732
11492	2773
14099	2813
5405	2853
14978	2893
9745	2933
10564	2972
13615	3012
6718	3051
3075	3091
15711	3132
3944	3173
16964	3213
9686	3254
9486	3293
7678	3333
19212	3374
14428	3415
6951	3455
9436	3495
9160	3534
9123	3574
270	3613
2807	3650
18899	3688
18225	3727
11339	3768
12123	3809
13814	3849
10182	3888
10298	3929
20000	3967
3383	4008
4286	4048
17526	4088
10338	4129
14571	4170
3828	4211
8399	4251
16932	4293
12736	4335
8955	4375
6446	4415
14694	4455
11762	4496
10400	4537
8264	4577
16988	4617
9518	4659
9365	4698
12539	4736
4466	4777
12622	4817
14549	4858
17794	4898
5678	4939
9955	4978
13470	5018
1957	5058
903	5098
12378	5136
12497	5177
5949	5219
17720	5259
14141	5299
5906	5340
2672	5380
10570	5420
7280	5461
12087	5501
14388	5542
3125	5583
2734	5622
2451	5662
6705	5702
3606	5741
14883	5781
4795	5822
18481	5862
13932	5902
7423	5942
5341	5982
15813	6023
16795	6065
3591	6105
12347	6145
635	6187
8112	6226
15345	6266
14651	6307
1599	6347
84	6387
1305	6425
16340	6465
2408	6505
15495	6545
12439	6587
6464	6628
14426	6668
517	6710
3004	6747
12335	6787
6561	6829
13350	6867
14987	6908
16367	6950
2301	6991
10776	7030
9500	7071
8433	7110
8697	7149
14188	7189
3294	7231
14164	7270
5951	7311
6383	7351
16466	7392
15465	7434
9588	7475
17372	7515
6068	7554
5524	7594
1969	7634
17053	7675
16998	7715
11521	7757
4293	7798
11199	7836
14674	7876
8013	7918
11743	7958
